,OR -> CE,CE -> NO,CE -> SU,CE -> OR,SU -> CE
2020-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 07:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 08:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 09:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 10:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-04 23:00:00,0.0,0.0,0.0,0.0,0.0
2020-01-05 00:00:00,20.876919084051572,184.13083190928,0.0,0.0,30.231682274820024
2020-01-05 01:00:00,43.9180190840516,182.87492587174845,0.0,0.0,36.24138227482001
2020-01-05 02:00:00,63.282019084051576,168.7929379468116,0.0,0.0,48.39608227482003
2020-01-05 03:00:00,75.69964373801133,173.79063190928,0.0,0.0,46.36614941432872
2020-01-05 04:00:00,70.49267534604016,173.97063190928,0.0,0.0,46.80138227482001
2020-01-05 05:00:00,105.57359999999991,166.99593190928002,5.50861772518001,0.0,0.0
2020-01-05 06:00:00,103.76359999999998,167.24063190928,10.022654234859942,0.0,0.0
2020-01-05 07:00:00,102.94851908405161,187.01063190928,0.0,0.0,0.4748712478200119
2020-01-05 08:00:00,82.02501908405159,193.79963190928,0.0,0.0,18.250647085156775
2020-01-05 09:00:00,68.88682506976306,216.70063190928002,0.0,0.0,37.194317226776974
2020-01-05 10:00:00,31.108519084051565,224.09063190928,0.0,0.0,65.97632396068849
2020-01-05 11:00:00,42.71491908405152,217.94683190928004,0.0,0.0,63.57682910068859
2020-01-05 12:00:00,25.398519084051557,222.15063190928,0.0,0.0,68.5909229096885
2020-01-05 13:00:00,25.767013098340016,213.86533190928003,0.0,0.0,82.80669290280004
2020-01-05 14:00:00,45.9049190840516,200.9760377111233,0.0,0.0,75.46464367082005
2020-01-05 15:00:00,24.06274365892,199.25943190928,0.0,0.0,74.82756209982001
2020-01-05 16:00:00,31.100094509183265,214.50863190928,0.0,0.0,38.23902897238002
2020-01-05 17:00:00,36.138519084051644,224.79863190928,0.0,0.0,80.92285615979999
2020-01-05 18:00:00,85.19521908405159,239.15002610743676,0.0,0.0,67.49909729483997
2020-01-05 19:00:00,88.48398140952003,293.41943190928004,0.0,0.0,41.155182274820014
2020-01-05 20:00:00,77.9949190840516,281.5457893538116,0.0,0.0,39.48518227481999
2020-01-05 21:00:00,67.22600000000001,264.55943190928,0.0,0.0,43.945182274820006
2020-01-05 22:00:00,86.52749999999999,238.23133190928002,0.0,0.0,51.87908227482
2020-01-05 23:00:00,100.37959999999991,159.98063190928002,0.0,0.0,31.61987553434018
2020-01-06 00:00:00,62.282099999999936,177.07610042328002,0.0,0.0,52.159375534340185
2020-01-06 01:00:00,99.51599999999998,162.6462825956134,0.7764305573265737,0.0,0.0
2020-01-06 02:00:00,96.10959999999993,148.81143190928,21.594130557326594,0.0,0.0
2020-01-06 03:00:00,101.93959999999996,156.5105127089466,24.558430557326567,0.0,0.0
2020-01-06 04:00:00,121.04461281129991,164.61063190928002,26.33859113695988,0.0,0.0
2020-01-06 05:00:00,128.0996,179.49063190928,30.46914607366,0.0,0.0
2020-01-06 06:00:00,110.29478718869996,227.08063190928002,0.0,0.0,69.20768423004012
2020-01-06 07:00:00,117.03031867552002,249.89063190928002,0.0,0.0,87.39366090082004
2020-01-06 08:00:00,78.4375348114001,266.98772493326,0.0,0.0,100.82660866882
2020-01-06 09:00:00,51.369599999999984,267.2724693819401,0.0,0.0,104.83569210579998
2020-01-06 10:00:00,50.72599999999997,279.73732493325997,0.0,0.0,115.32117548782
2020-01-06 11:00:00,30.11959999999994,274.59468048457995,0.0,0.0,123.71416382584002
2020-01-06 12:00:00,38.43959999999999,263.23063190928,0.0,0.0,122.70536127784001
2020-01-06 13:00:00,0.45960000000006174,269.88063190928,0.0,0.0,107.02395738880003
2020-01-06 14:00:00,0.0,267.52263190928005,0.0,20.15039999999994,107.39286790381999
2020-01-06 15:00:00,0.0,256.88748190928004,0.0,18.984381855419997,100.69953041883998
2020-01-06 16:00:00,5.6013470440199455,261.12063190928,0.0,0.0,93.96311333780002
2020-01-06 17:00:00,33.77959999999997,252.57263190927995,0.0,0.0,78.74791362682001
2020-01-06 18:00:00,64.97823293451995,251.24840190927995,0.0,0.0,59.36414377182002
2020-01-06 19:00:00,103.48491908405158,297.98343190928006,0.0,0.0,25.78518227482001
2020-01-06 20:00:00,109.12491908405158,294.56043190928,0.0,0.0,8.205182274819997
2020-01-06 21:00:00,67.27000000000001,263.85343190928,0.0,0.0,24.245182274820017
2020-01-06 22:00:00,83.02130000000002,249.90457190928004,0.0,0.0,48.754014154339984
2020-01-06 23:00:00,115.07490000000004,229.85743190928,0.0,0.0,61.46385039530004
2020-01-07 00:00:00,62.25342044452013,201.94237190928,0.0,0.0,67.74138227481997
2020-01-07 01:00:00,101.89067955547968,197.55063190928,0.0,0.0,10.027382274820003
2020-01-07 02:00:00,99.65359999999987,191.63703190928004,4.247120879312962,0.0,0.0
2020-01-07 03:00:00,114.55019686365308,191.41063190928,17.155120879312978,0.0,0.0
2020-01-07 04:00:00,122.7652031363467,195.52063190928,15.435120879312956,0.0,0.0
2020-01-07 05:00:00,127.81359999999994,202.87063190928004,11.802097365659819,0.0,0.0
2020-01-07 06:00:00,138.72789999999998,219.04899580659998,0.0,0.0,11.943037705260082
2020-01-07 07:00:00,153.23360000000008,240.45376801196002,0.0,0.0,22.659093696819998
2020-01-07 08:00:00,118.6116,250.3953319092801,0.0,0.0,63.65877410574015
2020-01-07 09:00:00,110.54000000000005,254.17747531924027,0.0,0.0,66.35569480630016
2020-01-07 10:00:00,101.09,255.55143190928004,0.0,0.0,71.50026332874006
2020-01-07 11:00:00,93.29360000000005,265.99063190928,0.0,0.0,73.96015058923982
2020-01-07 12:00:00,112.51360000000003,254.43063190928004,0.0,0.0,39.99570184913998
2020-01-07 13:00:00,99.58360000000002,265.76063190928,0.0,0.0,77.57995805193991
2020-01-07 14:00:00,88.25360000000003,270.3061528197402,0.0,0.0,108.40275746879999
2020-01-07 15:00:00,91.7549,263.39466502118006,0.0,0.0,102.04305288784
2020-01-07 16:00:00,107.71280000000006,263.12863190928,0.0,0.0,88.16876222279998
2020-01-07 17:00:00,134.07160000000005,263.03863190928,0.0,0.0,77.98630265082
2020-01-07 18:00:00,112.00670000000002,269.38653190928,0.0,0.0,59.110367763839974
2020-01-07 19:00:00,121.70686102899992,305.55943190928,0.0,0.0,21.895182274820023
2020-01-07 20:00:00,108.92000000000004,303.1694319092801,0.0,0.0,20.725182274820007
2020-01-07 21:00:00,133.31000000000003,277.72943190928004,0.0,0.0,30.215182274820016
2020-01-07 22:00:00,167.95000000000005,258.93473190928,0.0,0.0,37.923382274819986
2020-01-07 23:00:00,184.45570000000004,227.21033190928,8.443051828140028,0.0,0.0
2020-01-08 00:00:00,135.7814,207.82063190928,9.350617725179966,0.0,0.0
2020-01-08 01:00:00,149.41860000000008,190.94423190928003,47.948006597660026,0.0,0.0
2020-01-08 02:00:00,147.52360000000004,193.46063190928,57.842525729660025,0.0,0.0
2020-01-08 03:00:00,148.96360000000007,187.13063190928,57.860531280659984,0.0,0.0
2020-01-08 04:00:00,168.1985573780001,196.32063190928,60.06053128066004,0.0,0.0
2020-01-08 05:00:00,178.11570988400007,208.04063190928,57.81053128066001,0.0,0.0
2020-01-08 06:00:00,178.52778072235995,230.43953190928005,8.762809862619868,0.0,0.0
2020-01-08 07:00:00,147.6344999999999,247.75213190927997,0.0,0.0,36.99819578134011
2020-01-08 08:00:00,123.23054471635999,258.76883190928,0.0,0.0,70.32309453038008
2020-01-08 09:00:00,107.27054471635992,254.78143190928,0.0,0.0,74.1410478923801
2020-01-08 10:00:00,102.50054471635994,259.96143190928,0.0,0.0,75.66628887514022
2020-01-08 11:00:00,99.97442935494001,260.51363190928004,0.0,0.0,77.58357453159994
2020-01-08 12:00:00,105.39414471635982,255.71063190927993,0.0,0.0,56.50767669698001
2020-01-08 13:00:00,102.11360000000005,264.15063190928,0.0,0.0,85.18572582633988
2020-01-08 14:00:00,78.84360000000004,253.96863190928008,0.0,0.0,98.71826740482
2020-01-08 15:00:00,81.38360000000006,265.08863190928,0.0,0.0,86.56531849484001
2020-01-08 16:00:00,86.42281536142002,265.48863190928,0.0,0.0,80.65450639382003
2020-01-08 17:00:00,105.64360000000002,261.13863190928004,0.0,0.0,68.60438472884003
2020-01-08 18:00:00,100.77197688037958,268.93863190928,0.0,0.0,49.0961881298
2020-01-08 19:00:00,143.29765763451996,307.53943190928004,0.0,0.0,22.795182274819993
2020-01-08 20:00:00,148.88765579452001,309.53943190928004,0.0,0.0,17.85518227482
2020-01-08 21:00:00,111.52000000000001,288.11943190928,0.0,0.0,26.665182274820005
2020-01-08 22:00:00,137.00912311962045,273.05563190928,0.0,0.0,37.67618227481999
2020-01-08 23:00:00,156.87360000000007,240.64063190928007,0.0,0.0,42.935346338340025
2020-01-09 00:00:00,112.754921227,206.91850367090998,0.0,0.0,22.1328259199
2020-01-09 01:00:00,143.20999999999998,193.72260367091,44.224650877100004,0.0,0.0
2020-01-09 02:00:00,150.28617877300007,184.21720367090998,44.36465373510006,0.0,0.0
2020-01-09 03:00:00,138.3736000000001,180.31720367090998,43.63465373510007,0.0,0.0
2020-01-09 04:00:00,145.89870000000002,182.21720367090998,40.14190591709999,0.0,0.0
2020-01-09 05:00:00,147.73360000000002,193.26720367091,27.000840195099983,0.0,0.0
2020-01-09 06:00:00,155.48074839478,239.44720367091,0.0,0.0,13.78740144792005
2020-01-09 07:00:00,115.43186877022413,252.8971036709101,0.0,0.0,85.82257858747602
2020-01-09 08:00:00,108.98800504159,263.43790367091003,0.0,0.0,100.41475383214001
2020-01-09 09:00:00,104.74962865649003,262.00706148309007,0.0,0.0,99.56806759016001
2020-01-09 10:00:00,85.68595979712003,263.6580036709101,0.0,0.0,102.36188204417999
2020-01-09 11:00:00,74.18592667116008,275.48720367091005,0.0,0.0,111.79115018014002
2020-01-09 12:00:00,63.84251321552,260.2072036709101,0.0,0.0,105.50737119518004
2020-01-09 13:00:00,47.51360000000002,261.2422645076001,0.0,0.0,100.42396847316
2020-01-09 14:00:00,19.873600000000003,268.09226450760013,0.0,0.0,91.56711497117999
2020-01-09 15:00:00,22.540948596620126,264.43030669542014,0.0,0.0,82.22180093115998
2020-01-09 16:00:00,46.24765140337993,270.9522645076001,0.0,0.0,77.08478757018003
2020-01-09 17:00:00,63.20359999999999,269.0022645076001,0.0,0.0,68.18655042615998
2020-01-09 18:00:00,96.70890000000004,268.86105022257,0.0,0.0,48.44532991215998
2020-01-09 19:00:00,109.29491908405164,314.6730645076001,0.0,0.0,13.018024577160011
2020-01-09 20:00:00,104.67594795643004,315.4830645076001,0.0,0.0,16.168024577160015
2020-01-09 21:00:00,74.49000000000004,296.0430645076001,0.0,0.0,21.528024577160032
2020-01-09 22:00:00,93.56849999999997,261.82480586763023,0.0,0.0,36.97912457716002
2020-01-09 23:00:00,144.21900000000008,237.77720367090998,0.0,0.0,40.099347253899936
2020-01-10 00:00:00,83.14840000000001,190.04540367091,0.0,0.0,3.3797134681199736
2020-01-10 01:00:00,94.90298528049988,182.67720367091,25.543029545379834,0.0,0.0
2020-01-10 02:00:00,123.63598816849989,175.10720367091,71.44502954537985,0.0,0.0
2020-01-10 03:00:00,117.20748550749981,166.40600367090997,68.29502954537982,0.0,0.0
2020-01-10 04:00:00,124.81964104349987,176.46720367090998,67.18502954537988,0.0,0.0
2020-01-10 05:00:00,133.29064220896,191.29720367091,61.68577542284,0.0,0.0
2020-01-10 06:00:00,145.20360000000005,228.55720367091,15.19180497267999,0.0,0.0
2020-01-10 07:00:00,125.48813854560007,257.85720367091005,0.0,0.0,35.524103171320036
2020-01-10 08:00:00,73.2014999999999,275.9375036709101,0.0,0.0,95.58808451114001
2020-01-10 09:00:00,42.60449999999992,277.4800641939399,0.0,0.0,102.26855613618002
2020-01-10 10:00:00,33.99767240908019,277.5430645076001,0.0,0.0,102.63581294616002
2020-01-10 11:00:00,18.170469611520197,289.33546482126025,0.0,0.0,113.90281370218003
2020-01-10 12:00:00,27.33360000000001,272.6829244557501,0.0,0.0,110.70653690016002
2020-01-10 13:00:00,0.0,280.7622645076001,0.0,4.116400000000006,103.62116774414
2020-01-10 14:00:00,0.0,289.5922645076001,0.0,29.69639999999992,95.18350776616
2020-01-10 15:00:00,0.0,280.5245645076001,0.0,21.305842020599968,89.54106147217999
2020-01-10 16:00:00,8.710300000000089,283.0022645076001,0.0,0.0,74.09048421413999
2020-01-10 17:00:00,29.87360000000009,278.65226450760014,0.0,0.0,60.80362238418004
2020-01-10 18:00:00,48.839999999999975,278.5427645076001,0.0,0.0,40.96872150518003
2020-01-10 19:00:00,80.178,339.8430645076001,0.0,0.0,14.03802457716002
2020-01-10 20:00:00,57.63347051137555,328.9660036709101,0.0,0.0,13.588024577160004
2020-01-10 21:00:00,46.021040541249945,304.3728349147001,0.0,0.0,25.958024577159993
2020-01-10 22:00:00,69.32095945875011,269.03053491470007,0.0,0.0,33.46992457716
2020-01-10 23:00:00,90.0059932049599,220.81230367090998,0.0,0.0,52.67482457716003
2020-01-11 00:00:00,87.229114661316,200.79940367090998,0.0,0.0,55.62729924158401
2020-01-11 01:00:00,78.5649,187.23720367091,0.0,0.0,36.260745224900006
2020-01-11 02:00:00,84.15359999999993,170.17380367091,0.0,0.0,1.2035979009001139
2020-01-11 03:00:00,102.80467828699994,176.60720367091,11.954402099099887,0.0,0.0
2020-01-11 04:00:00,108.98522171299987,180.93720367090998,13.5444020990999,0.0,0.0
2020-01-11 05:00:00,123.82359999999989,190.68720367090998,7.352087911099886,0.0,0.0
2020-01-11 06:00:00,114.72360000000003,198.26720367091,0.0,0.0,11.659954294899961
2020-01-11 07:00:00,105.23359999999991,226.14720367091,0.0,0.0,64.16421573090008
2020-01-11 08:00:00,104.55103534300423,250.68410367091005,0.0,0.0,90.8965312316958
2020-01-11 09:00:00,86.05963534300415,254.19800367091005,0.0,0.0,100.102293741496
2020-01-11 10:00:00,83.47963534300425,249.71946294351014,0.0,0.0,100.33516451049596
2020-01-11 11:00:00,91.78963534300414,259.4243025870452,0.0,0.0,97.63242649183104
2020-01-11 12:00:00,93.69052324622419,259.0072036709101,0.0,0.0,100.65318744047593
2020-01-11 13:00:00,100.20834071940416,255.7672036709101,0.0,0.0,90.15425606949597
2020-01-11 14:00:00,116.05892119740417,262.36720367091004,0.0,0.0,80.67797338849593
2020-01-11 15:00:00,119.1707609781401,262.11720367091004,0.0,0.0,79.48551164716
2020-01-11 16:00:00,133.82969999999997,263.3172036709101,0.0,0.0,75.13251139060512
2020-01-11 17:00:00,159.80069999999986,266.49680631886486,0.0,0.0,63.85591871115997
2020-01-11 18:00:00,127.34960000000002,267.6042349147001,0.0,0.0,48.74057953617998
2020-01-11 19:00:00,101.35507256044045,317.71283491470007,0.0,0.0,23.13802457716001
2020-01-11 20:00:00,109.4350725604404,310.46283491470007,0.0,0.0,20.768024577160013
2020-01-11 21:00:00,127.12507256044043,288.5730645076001,0.0,0.0,32.94802457716002
2020-01-11 22:00:00,143.84280000000007,258.4421645076001,0.0,0.0,36.48782457716
2020-01-11 23:00:00,148.61743302340398,225.55030367090998,0.0,0.0,47.285389901496
2020-01-12 00:00:00,110.97359999999998,200.27720367090998,0.0,0.0,29.318860590900044
2020-01-12 01:00:00,130.57669999999987,173.60430367090999,24.91020018709986,0.0,0.0
2020-01-12 02:00:00,148.00999999999988,171.81520367091,49.85196152109984,0.0,0.0
2020-01-12 03:00:00,145.79509999999993,166.81970367090997,58.06503921709992,0.0,0.0
2020-01-12 04:00:00,150.36830000000003,169.19310367091,63.01520590610002,0.0,0.0
2020-01-12 05:00:00,137.60131446173992,167.68720367090998,58.55577542283994,0.0,0.0
2020-01-12 06:00:00,129.46705642134,174.38720367091003,49.155839518839954,0.0,0.0
2020-01-12 07:00:00,118.32011057993998,195.52720367090998,27.752524901839987,0.0,0.0
2020-01-12 08:00:00,116.69100739711998,208.72720367090997,24.124933858819986,0.0,0.0
2020-01-12 09:00:00,103.78239999999992,220.29850367091,15.559717639840027,0.0,0.0
2020-01-12 10:00:00,91.04999999999993,219.22910095120972,13.94707343185999,0.0,0.0
2020-01-12 11:00:00,55.123599999999946,213.49750639061028,0.0,0.0,11.449220508050207
2020-01-12 12:00:00,48.92949999999994,214.62720367091,0.0,0.0,22.66777244905024
2020-01-12 13:00:00,34.62169999999988,205.76020367091002,0.0,0.0,26.04225882250021
2020-01-12 14:00:00,65.09,215.11720367091,0.0,0.0,25.304988953700047
2020-01-12 15:00:00,44.530800000000056,210.11320367091,0.0,0.0,54.96792708389998
2020-01-12 16:00:00,41.973599999999976,215.89270367090998,0.0,0.0,81.51991199529999
2020-01-12 17:00:00,65.20850000000009,217.95950367091,0.0,0.0,72.00652551589991
2020-01-12 18:00:00,23.632711608430014,232.0297645076,0.0,0.0,66.01734495316
2020-01-12 19:00:00,64.66772828443007,301.9430645076001,0.0,0.0,36.20802457715999
2020-01-12 20:00:00,64.8877282844301,302.3430645076001,0.0,0.0,35.27802457716002
2020-01-12 21:00:00,7.267300000000034,278.2430645076001,0.0,0.0,52.928024577160016
2020-01-12 22:00:00,32.80000000000003,247.3152915826001,0.0,0.0,56.55222457716001
2020-01-12 23:00:00,53.73860000000004,213.76710367091,0.0,0.0,66.87282457716003
2020-01-13 00:00:00,48.35360000000005,188.22290367091,0.0,0.0,63.07712366789994
2020-01-13 01:00:00,93.25830000000002,162.97800367091,26.00893643010002,0.0,0.0
2020-01-13 02:00:00,100.31029999999998,168.50740367091,24.50225520309997,0.0,0.0
2020-01-13 03:00:00,96.02359999999996,165.69720367090997,23.012255203099983,0.0,0.0
2020-01-13 04:00:00,102.95601972199997,169.42720367091,27.912255203099974,0.0,0.0
2020-01-13 05:00:00,128.00804256000004,192.62720367091,26.14225520309996,0.0,0.0
2020-01-13 06:00:00,138.26738027800013,222.93200367090998,0.0,0.0,2.532543000299796
2020-01-13 07:00:00,71.9020000000001,244.74182328515008,0.0,0.0,89.96167067414
2020-01-13 08:00:00,0.0,266.8646349147001,0.0,15.536399999999926,110.55422451514
2020-01-13 09:00:00,0.0,265.02283491470007,0.0,30.66175407786983,111.34576897016
2020-01-13 10:00:00,0.0,269.7328349147001,0.0,28.40174080646983,100.35389794815997
2020-01-13 11:00:00,0.0,269.0828349147001,0.0,42.736399999999925,99.65464529748996
2020-01-13 12:00:00,0.0,271.31613176039,0.0,36.14640000000001,133.23638557718004
2020-01-13 13:00:00,0.0,279.1020349147001,0.0,62.596399999999825,97.86369435813998
2020-01-13 14:00:00,0.0,279.4116843181896,0.0,45.70908091594845,83.32290771884999
2020-01-13 15:00:00,0.0,285.20203491470016,0.0,47.41318603160863,76.56849783518001
2020-01-13 16:00:00,0.0,281.1620349147001,0.0,18.69908091594853,61.100158696140035
2020-01-13 17:00:00,4.0245190840516045,276.1120349147001,0.0,0.0,55.014192403139994
2020-01-13 18:00:00,67.65627625573154,286.66226450760007,0.0,0.0,37.098525180160024
2020-01-13 19:00:00,76.62491908405156,341.8930645076001,0.0,0.0,17.234466142449037
2020-01-13 20:00:00,79.85058439285115,338.14521510411066,0.0,0.0,14.24802457716
2020-01-13 21:00:00,24.983600000000017,316.5122645076001,0.0,0.0,20.186972255729874
2020-01-13 22:00:00,67.37260000000002,258.0520645076001,0.0,0.0,40.53777689859015
2020-01-13 23:00:00,99.98530000000005,227.00260367091,0.0,0.0,56.84882457716002
2020-01-14 00:00:00,95.54359999999986,200.35720367091002,0.0,0.0,37.94062241090025
2020-01-14 01:00:00,131.52430579405507,169.77510367090997,41.06502634015505,0.0,0.0
2020-01-14 02:00:00,137.77564229031483,170.59650367090998,40.482728506414794,0.0,0.0
2020-01-14 03:00:00,135.87998659731488,167.90720367091,41.06272850641481,0.0,0.0
2020-01-14 04:00:00,144.95246531831486,172.30720367091,39.3027285064148,0.0,0.0
2020-01-14 05:00:00,150.4311846083147,187.47720367090997,34.892728506414755,0.0,0.0
2020-01-14 06:00:00,152.24118460831474,217.81150367090999,0.0,0.0,14.15878007718527
2020-01-14 07:00:00,114.32175331671996,250.47720367091003,0.0,0.0,75.43133074118005
2020-01-14 08:00:00,79.42569999999998,265.21486450760005,0.0,0.0,89.42667370214
2020-01-14 09:00:00,53.116999999999976,261.5421964777266,0.0,0.0,100.09955271914
2020-01-14 10:00:00,35.23161281012682,276.3110325374736,0.0,0.0,107.99796766516002
2020-01-14 11:00:00,32.88648718987335,282.0222645076001,0.0,0.0,115.68449382113997
2020-01-14 12:00:00,29.393599999999967,264.15226450760014,0.0,0.0,122.14325869013999
2020-01-14 13:00:00,10.990300000000069,276.3720645076001,0.0,0.0,95.12443299713996
2020-01-14 14:00:00,19.906000000000027,263.8728349147001,0.0,0.0,86.00258680018001
2020-01-14 15:00:00,0.0,268.9228349147001,0.0,0.10134253658003445,70.64032628416004
2020-01-14 16:00:00,47.169707542130084,273.7220349147001,0.0,0.0,65.82317187416004
2020-01-14 17:00:00,85.74970754213021,276.6122645076001,0.0,0.0,51.35119094714002
2020-01-14 18:00:00,134.50860000000006,288.79226450760007,0.0,0.0,39.76259238739004
2020-01-14 19:00:00,166.2680000000001,335.3128349147001,0.0,0.0,17.380024577160004
2020-01-14 20:00:00,166.76261655500014,333.9928349147001,0.0,0.0,18.110024577160022
2020-01-14 21:00:00,141.25000000000006,308.61993491470014,0.0,0.0,21.362748176929962
2020-01-14 22:00:00,158.10610000000008,266.4555645076001,0.0,0.0,40.76022457716
2020-01-14 23:00:00,121.37560000000002,220.94286813869024,0.0,0.0,54.286224577160034
2020-01-15 00:00:00,73.67440000000002,193.85720367091,0.0,0.0,64.64622457716005
2020-01-15 01:00:00,97.1584,178.19720367090997,0.0,0.0,11.10222457716002
